id;achivement_percent;value;is_active;created_at;updated_at;created_by;updated_by
1;43494;71160;true;2023-01-15;2023-01-15;transmitting;heuristic Wooden
2;86968;50332;true;2023-01-14;2023-01-14;Centralized Liechtenstein infomediaries;Granite communities
3;29775;18824;false;2023-01-15;2023-01-14;Massachusetts Thailand;Concrete
4;4665;8101;false;2023-01-14;2023-01-15;Refined;Communications Manager
5;57844;19936;false;2023-01-14;2023-01-15;user-facing matrix artificial;Producer Frozen impactful
6;85749;45103;false;2023-01-14;2023-01-14;neural Response;Alaska technologies lavender
7;7186;37707;true;2023-01-15;2023-01-15;payment;Maine UAE
8;29164;17341;true;2023-01-15;2023-01-15;Market green;Refined
9;47020;19983;true;2023-01-14;2023-01-14;Planner invoice Azerbaijan;payment Bacon Cambridgeshire
10;32821;94109;true;2023-01-14;2023-01-15;panel;deposit hacking
