id;type;min_achivement_percent;max_achivement_percent;scheme_value;is_active;created_at;updated_at;created_by;updated_by
1;Absolute;96172;63788;77073;false;2023-01-14;2023-01-15;matrices Cliffs;withdrawal Managed conglomeration
2;Percent;89806;24476;90827;true;2023-01-15;2023-01-14;CFP;digital Cambridgeshire
3;Percent;96197;12640;55090;false;2023-01-15;2023-01-14;Course;Tasty
4;Percent;52322;19753;64520;false;2023-01-14;2023-01-15;parsing lavender connect;navigate RAM
5;Percent;57314;50606;71295;false;2023-01-15;2023-01-14;Bedfordshire Wisconsin Movies;Kenya withdrawal withdrawal
6;Percent;84453;17866;1235;false;2023-01-15;2023-01-14;data-warehouse Franc Saint;Denmark Tasty Jamahiriya
7;Percent;77715;33719;84122;false;2023-01-14;2023-01-14;Corporate Checking Assurance;Venezuela Credit
8;Percent;16302;817;98663;true;2023-01-15;2023-01-14;Awesome wireless Metal;copy Frozen ROI
9;Percent;42099;26050;62012;true;2023-01-14;2023-01-14;Licensed;Rustic Chicken Creative
10;Absolute;81641;69148;80979;false;2023-01-14;2023-01-14;Metrics;Product multi-byte
