id;type;start_date;end_date;target_value;is_active;created_at;updated_at;created_by;updated_by
1;WoD;2023-01-14;2023-01-15;23256;false;2023-01-15;2023-01-14;SAS Assurance Avon;Dominican
2;OrderCount;2023-01-15;2023-01-14;75559;true;2023-01-15;2023-01-14;Cotton COM;Avon productize
3;Revenue;2023-01-14;2023-01-14;20866;false;2023-01-14;2023-01-15;transmitting Right-sized;Senior
4;OrderCount;2023-01-14;2023-01-14;18796;true;2023-01-14;2023-01-14;indigo Developer Borders;open-source Chips
5;OrderCount;2023-01-15;2023-01-14;17581;true;2023-01-14;2023-01-14;Colorado COM;moratorium blue
6;OrderCount;2023-01-14;2023-01-15;45347;false;2023-01-14;2023-01-14;purple wireless;withdrawal
7;Revenue;2023-01-14;2023-01-14;92965;false;2023-01-15;2023-01-14;Loan holistic Open-source;niches Cotton out-of-the-box
8;OrderCount;2023-01-14;2023-01-15;92890;false;2023-01-15;2023-01-14;Krona;Clothing extend
9;WoD;2023-01-14;2023-01-14;88511;true;2023-01-15;2023-01-14;Loan protocol Loan;parsing copying
10;OrderCount;2023-01-14;2023-01-14;46199;false;2023-01-15;2023-01-15;Music Fresh;Versatile Azerbaijan
